Facility,Item Type Name,Item SkuCode,EAN,UPC,ISBN,Color,Size,Brand,Category Name,MRP,Open Sale,Inventory,Inventory Blocked,Bad Inventory,Putaway Pending,Pending Inventory Assessment,Return Awaited,Open Purchase,Enabled,Updated,Virtual Inventory
VENDORSKART MUNDKA 1 FACILITY,Autofy U3 Black Projector with Blue Ring Universal Fog Light for All Bikes,VKAMLIGHT0013,1,SDL472228685,LED Company China,Black,China,Autofy,Vendorskart_Automotive,999.00,0,148,0,0,0,0,0,0,true,2017-03-28 03:35:29,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Foloroscent Green Universal Rubber Handle Grip for All Bikes (Set of 2),VKAMGRIP0004,Set of 2,SDL474935734,Grip Company China,Black & yellow,China,Autofy,Vendorskart_Automotive,599.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:30,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Rapid Skull Shape Loud Trumphet Universal Horn for All Bikes (Set of 2),VKAMHORN0002,Set of 2,SDL489028508,Autofy - India,Self Chrom,India,Autofy,Vendorskart_Automotive,1599.00,0,17,1,0,0,0,0,0,true,2017-03-28 04:17:04,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Black Blue Metal Clip for All Bikes,VKAMBAG0007,1,SDL490347269,Autofy - India,Blak blue,India,Autofy,Vendorskart_Automotive,799.00,0,13,0,0,0,0,0,0,true,2017-03-28 03:35:30,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Chrome Colour Jaguar Universal Emblem for All Bikes (Set of 2),VKAMEMBLEM0001,Set of 2,SDL523766961,Autofy - India,Chrome,India,Autofy,Vendorskart_Automotive,399.00,0,173,30,0,0,0,0,0,true,2017-03-28 03:31:03,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Blue Spine shaped Universal Petrol Tank Sticker Graphics for All Bikes,VKAMSTICKER0001,1,SDL546343348,Autofy-India,Black Blue,India,Autofy,Vendorskart_Automotive,399.00,0,0,0,0,0,0,0,0,true,2017-03-28 04:17:05,0
VENDORSKART MUNDKA 1 FACILITY,Autofy 3 piece Aeroplane Universal Projector Fog Light for All Bikes,VKAMLIGHT0004,1,SDL565151498,LED Company China,Silver,China,Autofy,Vendorskart_Automotive,1999.00,0,34,0,0,0,0,0,0,true,2017-03-28 03:35:32,0
VENDORSKART MUNDKA 1 FACILITY,Autofy 2 sided Red LED Universal Indicator for All Bikes2,VKAMLIGHT0028,1,SDL567021666,LED Company China,Black,China,Autofy,Vendorskart_Automotive,999.00,74,0,0,0,0,0,0,0,true,2017-03-28 04:17:05,0
VENDORSKART MUNDKA 1 FACILITY,Autofy High Performance RAD Universal Air Filter Red colour for All Bikes,VKAMFILTER0003,1,SDL572876725,Autofy - India,Red,India,Autofy,Vendorskart_Automotive,799.00,0,32,0,0,0,0,0,0,true,2017-03-28 04:17:05,0
VENDORSKART MUNDKA 1 FACILITY,Autofy H4 CYT LED HID Universal Headlight for All Bikes,VKAMLIGHT0024,1,SDL574160483,LED Company China,Black,China,Autofy,Vendorskart_Automotive,1999.00,0,2,0,0,0,0,0,0,true,2017-03-28 04:17:05,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U9 Golden Universal Projector Fog Light for All Bikes,VKAMLIGHT0003_Golden,1,SDL592908912,LED Company China,Golden,China,Autofy,Vendorskart_Automotive,1599.00,0,5,0,0,0,0,0,0,true,2017-03-28 04:17:05,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Chrome Colour Flame Shape Universal Side Mirror Set for All Bikes (Set of 2),VKAMGLASS0002,Set of 2,SDL637798139,Glass Company China,Chrome,China,Autofy,Vendorskart_Automotive,999.00,0,0,4,0,0,0,0,0,true,2017-03-28 03:35:33,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Black Metal Clip for All Bikes,VKAMBAG0008,1,SDL661908852,Autofy - India,BLACK,India,Autofy,Vendorskart_Automotive,799.00,3,0,13,0,0,0,0,0,true,2017-03-28 04:17:06,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Knife Shape LED Universal Side Indicator light for All Bikes (Set of 2),VKAMLIGHT0020,Set of 2,SDL693732988,LED Company China,Black,China,Autofy,Vendorskart_Automotive,699.00,0,0,0,0,0,0,0,0,true,2017-03-28 04:17:06,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Black Grey Printed Plastic Clip for All Bikes,VKAMBAG0006,1,SDL737817566,Autofy - India,Dummy Red,India,Autofy,Vendorskart_Automotive,799.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:35,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Blue Acrylic Mouting Universal Side Mirror Set for All Bikes (Set of 2),VKAMGLASS0001,Set of 2,SDL747964765,Glass Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,1299.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:35,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U5 Black Universal Projector Fog Light for All Bikes,VKAMLIGHT0002,1,SDL764244550,LED Company China,Black,China,Autofy,Vendorskart_Automotive,1299.00,0,346,0,0,0,0,0,0,true,2017-03-28 04:17:06,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Red Spine shaped Universal Petrol Tank Sticker Graphics for All Bikes,VKAMSTICKER0002,1,SDL900855951,Autofy-India,Dummy Red,India,Autofy,Vendorskart_Automotive,399.00,39,0,0,0,0,0,0,0,true,2017-03-28 04:17:07,0
VENDORSKART MUNDKA 1 FACILITY,Autofy 7 inch 9 LED Round Headlight for Royal Enfield,VKAMLIGHT0009,1,SDL902968752,LED Company China,white,China,Autofy,Vendorskart_Automotive,2199.00,0,0,0,1,0,0,0,0,true,2017-03-28 04:17:07,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Chrome Colour Round Mounting Universal Side Mirror for All Bikes (Set of 2),VKAMGLASS0004,Set of 2,SDL916425433,Glass Company China,Chrome,China,Autofy,Vendorskart_Automotive,1299.00,0,30,1,0,0,0,0,0,true,2017-03-28 03:31:04,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Chrome colour Round Shape Universal Side Indicator set for All Bikes (Set of 2),VKAMLIGHT0017,Set of 2,SDL932410226,LED Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,1399.00,0,0,0,0,0,0,0,0,true,2017-03-28 04:17:07,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Plastic Grill Universal Side Indicator set for All Bikes (Set of 2),VKAMLIGHT0015,Set of 2,SDL970335129,LED Company China,Black,China,Autofy,Vendorskart_Automotive,999.00,0,0,0,0,0,0,0,0,true,2017-03-28 04:17:07,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Porsche Design Key Universal Anti-Theft Alarm System for All Bikes,VKAMLOCK0005,1,SDL881130900,Security Company China,Multi Colour,China,Autofy,Vendorskart_Automotive,1999.00,0,4,11,0,0,0,0,0,true,2017-03-28 04:17:07,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Green Pre-Curved Armour Monster Biking Gloves Extra Large (XL) Size (Set of 2),VKAMGLOVES0001_XL,Set of 2,,China,Dummy Red,China,Autofy,Vendorskart_Automotive,799.00,2,0,0,0,0,0,0,0,true,2017-03-28 10:35:16,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Green Pre-Curved Armour Monster Biking Gloves Small (S) Size (Set of 2),VKAMGLOVES0001_S,Set of 2,,China,Dummy Red,China,Autofy,Vendorskart_Automotive,799.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:39,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Designer Key Talking Universal Anti-Theft Alarm System for All Bikes,VKAMLOCK0004,1,,Security Company China,Multicolour,China,Autofy,Vendorskart_Automotive,1999.00,0,30,0,0,0,0,0,0,true,2017-03-28 04:17:08,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U3 Chrome Projector Universal Fog Light for All Bikes,VKAMLIGHT0011,1,SDL924086555,LED Company China,Chrome,China,Autofy,Vendorskart_Automotive,999.00,0,87,0,2,0,0,0,0,true,2017-03-28 04:17:08,0
VENDORSKART MUNDKA 1 FACILITY,Autofy ProX Elbow & Knee/Shin Guard Black Metal Protection Free Size (Set of 4),VKAMGUARD0001,Set of 4,,ProX-China,Black,China,Autofy,Vendorskart_Automotive,1999.00,0,0,0,0,0,0,0,0,true,2017-03-28 04:17:08,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Black Red Metal Clip for All Bikes,VKAMBAG0002,1,SDL601711016,Autofy - India,BLACK,India,Autofy,Vendorskart_Automotive,799.00,0,0,0,0,0,0,0,0,true,2017-03-28 04:17:08,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Black Metal Clip for All Bikes,VKAMBAG0004,1,SDL640987444,Autofy - India,BLACK,India,Autofy,Vendorskart_Automotive,799.00,2,0,6,0,0,0,0,0,true,2017-03-28 04:17:08,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag/Pouch Black for Royal Enfield,VKAMBAG0001,1,SDL006124739,Autofy - India,Black,India,Autofy,Vendorskart_Automotive,799.00,0,0,2,1,0,0,0,0,true,2017-03-28 03:35:41,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Axo Elbow & Knee/Shin Guard Black Adjustable Plastic Free Size (Set of 4),VKAMGUARD0003,Set of 4,SDL890616903,Axo,Black,China,Autofy,Vendorskart_Automotive,1599.00,0,1,0,0,0,0,0,0,true,2017-03-28 04:17:09,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Universal Highway Indicator Flasher / Auxiliary or Fog Light Flasher (For all Bikes and Cars),VKAMLIGHT0048,1,SDL894635126,LED Company China,Black,China,Autofy,Vendorskart_Automotive,899.00,19,0,0,0,0,0,0,0,true,2017-03-28 03:35:43,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Face Mask / Balaclava Free Size for Bike Riders (Black - Front Closed),VKAMMASK002,1,,China Fabrics,Dummy Red,China,Autofy,Vendorskart_Automotive,299.00,0,2115,0,0,0,0,0,0,true,2017-03-26 04:04:00,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Trust Pink Front Open Helmet,VKAMHELMET0001,1,SDL007954007,O2-Autofy-India,pink,India,Autofy,Vendorskart_Automotive,999.00,0,0,0,0,0,0,0,0,true,2017-03-28 12:00:18,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Trust Maroon Front Open Helmet,VKAMHELMET0002,1,SDL617194078,O2-Autofy-India,Maroon,India,Autofy,Vendorskart_Automotive,999.00,0,37,21,2,0,0,0,0,true,2017-03-28 13:45:14,0
VENDORSKART MUNDKA 1 FACILITY,Autofy O2 Black  Blue Full Close Helmet,VKAMHELMET0003,1,SDL020881603,O2-Autofy-India,Black  Blue,India,Autofy,Vendorskart_Automotive,1299.00,0,1,2,3,0,0,0,0,true,2017-03-28 12:00:19,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,VKAMHELMET0006,1,SDL668673857,Habsolite-Autofy-India,Black & Grey Star,India,Autofy,Vendorskart_Automotive,999.00,518,0,0,2,0,0,0,0,true,2017-03-28 12:00:19,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Habsolite Ecco Desert Storm & Black Star Front Open Helmet,VKAMHELMET0007,1,SDL189269292,Habsolite-Autofy-India,Storm & Black Star,India,Autofy,Vendorskart_Automotive,999.00,0,26,0,3,0,0,0,0,true,2017-03-28 12:00:19,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Habsolite Ecco Grey & Black Star Front Open Helmet,VKAMHELMET0008,1,SDL868562558,Habsolite-Autofy-India,Grey & Black Star,India,Autofy,Vendorskart_Automotive,999.00,53,0,0,1,0,0,0,0,true,2017-03-28 12:00:19,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Power Black and Orange Front Open Helmet,VKAMHELMET0010,1,SDL786885429,Autofy-India,Black & Orange,India,Autofy,Vendorskart_Automotive,999.00,122,0,0,2,0,0,0,0,true,2017-03-28 12:00:20,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Power Black and Green Front Open Helmet,VKAMHELMET0011,1,SDL341309380,Autofy-India,Black &  Green,India,Autofy,Vendorskart_Automotive,999.00,11,0,1,3,0,0,0,0,true,2017-03-28 12:00:20,0
VENDORSKART MUNDKA 1 FACILITY,Autofy O2 Black Full Close Helmet,VKAMHELMET0004,1,SDL528958847,O2-Autofy-India,Black,India,Autofy,Vendorskart_Automotive,1299.00,0,70,302,48,0,0,0,10,true,2017-03-28 14:10:15,0
VENDORSKART MUNDKA 1 FACILITY,[MiniSkull-Black] Autofy Unisex Black & White Mini Skull Headwrap / Bandana (Freesize),VKAMMASK0003_SC,,,,Black and white,China,Autofy,Vendorskart_Automotive,299.00,0,0,0,1,0,0,0,0,true,2017-03-28 12:00:20,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Grey & Red West Coast Choppers Headwrap / Bandana (Freesize),VKAMMASK0004,1,SDL462422528,China Fabrics,Grey&Red,China,Autofy,Vendorskart_Automotive,299.00,0,190,0,0,0,0,0,0,true,2017-03-28 12:00:20,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Black American Eagle Headwrap / Bandana (Freesize),VKAMMASK0005,1,SDL255665626,China Fabrics,Black,China,Autofy,Vendorskart_Automotive,299.00,0,0,0,0,0,0,0,0,true,2017-03-28 04:17:15,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Black Being Human Headwrap / Bandana (Freesize),VKAMMASK0006,1,SDL142722931,China Fabrics,Dummy Red,China,Autofy,Vendorskart_Automotive,299.00,4,0,0,0,0,0,0,0,true,2017-03-28 12:00:21,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Black & Green Skull Headwrap / Bandana (Freesize),VKAMMASK0007,1,SDL233039681,China Fabrics,Black & Green,China,Autofy,Vendorskart_Automotive,299.00,42,0,0,0,0,0,0,0,true,2017-03-28 12:00:21,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Black & Pink Skull Headwrap / Bandana (Freesize),VKAMMASK0008,1,SDL236138144,China Fabrics,Black & Pink,China,Autofy,Vendorskart_Automotive,299.00,241,0,0,0,0,0,0,0,true,2017-03-28 12:00:21,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Red Yellow & Green Bob Marley Skull Headwrap / Bandana (Freesize),VKAMMASK0009,1,SDL608750483,China Fabrics,RedYellow&Green,China,Autofy,Vendorskart_Automotive,299.00,21,0,0,2,0,0,0,0,true,2017-03-28 12:00:21,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Red & Black Che Guevara Headwrap / Bandana (Freesize),VKAMMASK0010,1,SDL899433208,China Fabrics,Red & Black,China,Autofy,Vendorskart_Automotive,299.00,0,183,0,0,0,0,0,0,true,2017-03-28 12:00:21,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Black & White Claw Design Headwrap / Bandana (Freesize),VKAMMASK0011,1,SDL946204605,China Fabrics,Dummy Red,China,Autofy,Vendorskart_Automotive,299.00,15,0,0,0,0,0,0,0,true,2017-03-28 12:00:21,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Pink & White Big Skull Headwrap / Bandana (Freesize),VKAMMASK0012,1,SDL942147170,China Fabrics,Dummy Red,China,Autofy,Vendorskart_Automotive,299.00,0,0,0,0,0,0,0,0,true,2017-03-28 12:00:22,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Black & White Skull and Neck Bones Headwrap / Bandana (Freesize),VKAMMASK0013,1,SDL265462652,China Fabrics,Black & White,China,Autofy,Vendorskart_Automotive,299.00,48,0,0,0,0,0,0,0,true,2017-03-28 12:00:22,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Black & White Royal Enfield Printed Headwrap / Bandana (Freesize),VKAMMASK0014,1,SDL048878317,China Fabrics,Dummy Red,China,Autofy,Vendorskart_Automotive,399.00,0,0,0,1,0,0,0,0,true,2017-03-28 12:00:22,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex White & Black Royal Enfield Printed Headwrap / Bandana (Freesize),VKAMMASK0015,1,SDL893444603,China Fabrics,Dummy Red,China,Autofy,Vendorskart_Automotive,399.00,0,1,0,0,0,0,0,0,true,2017-03-28 12:00:22,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Red Superman Headwrap / Bandana (Freesize),VKAMMASK0016,1,SDL626303225,China Fabrics,Red Superman,China,Autofy,Vendorskart_Automotive,299.00,482,0,0,1,0,0,0,0,true,2017-03-28 12:00:22,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Pink Sutle Print Skull Headwrap / Bandana (Freesize),VKAMMASK0017,1,SDL713172814,China Fabrics,Dummy Red,China,Autofy,Vendorskart_Automotive,299.00,10,0,0,0,0,0,0,0,true,2017-03-28 12:00:22,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Unisex Brown Metal Print Headwrap / Bandana (Freesize),VKAMMASK0018,1,SDL470791481,China Fabrics,Brown,China,Autofy,Vendorskart_Automotive,299.00,0,51,7,0,0,0,0,0,true,2017-03-28 12:00:23,0
